"광고그룹 보고서(2026.05.12.~2026.05.18.),2416927"
캠페인유형,캠페인,광고그룹,일별,매체이름,PC/모바일 매체,검색/콘텐츠 매체,상세지역,노출수,클릭수,클릭률(%),평균 CPC,총비용,총 전환수,직접전환수,간접전환수,총 전환율(%),총 전환매출액(원),직접전환매출액(원),간접전환매출액(원),총 전환당비용(원),총 광고수익률(%),구매완료 전환수,구매완료 전환매출액(원),구매완료 광고수익률(%)
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 검색탭,PC,검색,경기도 남양주시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 검색탭,PC,검색,경기도 성남시 수정구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 검색탭,PC,검색,서울특별시 동작구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 검색탭,PC,검색,전라남도 순천시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 검색탭,PC,검색,충청북도 청주시 흥덕구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 강릉시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 동해시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 양양군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 영월군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 정선군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 철원군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,강원특별자치도 화천군,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 고양시 덕양구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 고양시 일산서구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 광명시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 남양주시,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경기도 남양주시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 부천시 소사구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 부천시 오정구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경기도 부천시 오정구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 성남시 분당구,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경기도 성남시 중원구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 수원시 권선구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경기도 수원시 권선구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 시흥시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 안산시 단원구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 안산시 상록구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 안양시 동안구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 양주시,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 오산시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.13.,네이버 통합검색 - PC,PC,검색,경기도 오산시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파워링크,하) 쉐라폰 파워링크(삭제),쉐라폰 파워링크_광고그룹#1(삭제),2026.05.12.,네이버 통합검색 - PC,PC,검색,경기도 용인시 기흥구,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
