날짜,노출수,비용
2026년 4월 1일 (수),0,₩0
2026년 4월 2일 (목),0,₩0
2026년 4월 3일 (금),0,₩0
2026년 4월 4일 (토),0,₩0
2026년 4월 5일 (일),0,₩0
2026년 4월 6일 (월),0,₩0
2026년 4월 7일 (화),0,₩0
2026년 4월 8일 (수),0,₩0
2026년 4월 9일 (목),0,₩0
2026년 4월 10일 (금),0,₩0
2026년 4월 11일 (토),0,₩0
2026년 4월 12일 (일),0,₩0
2026년 4월 13일 (월),0,₩0
2026년 4월 14일 (화),0,₩0
2026년 4월 15일 (수),0,₩0
2026년 4월 16일 (목),61,₩0
2026년 4월 17일 (금),277,"₩2,525"
2026년 4월 18일 (토),527,"₩1,891"
2026년 4월 19일 (일),"1,087","₩7,582"
2026년 4월 20일 (월),898,"₩10,320"
2026년 4월 21일 (화),998,"₩6,816"
2026년 4월 22일 (수),"1,148","₩7,667"
2026년 4월 23일 (목),"1,723","₩19,363"
2026년 4월 24일 (금),"1,018","₩10,450"
2026년 4월 25일 (토),"1,373","₩11,336"
2026년 4월 26일 (일),"1,066","₩9,911"
2026년 4월 27일 (월),"1,022","₩8,949"
2026년 4월 28일 (화),"1,209","₩7,080"
2026년 4월 29일 (수),"1,537","₩9,264"
2026년 4월 30일 (목),"2,079","₩10,307"
2026년 5월 1일 (금),"2,047","₩9,977"
2026년 5월 2일 (토),"2,014","₩21,248"
2026년 5월 3일 (일),"2,206","₩19,426"
2026년 5월 4일 (월),"1,863","₩21,005"
2026년 5월 5일 (화),"2,260","₩22,716"
2026년 5월 6일 (수),773,"₩11,174"
2026년 5월 7일 (목),718,"₩11,307"
2026년 5월 8일 (금),659,"₩10,640"
2026년 5월 9일 (토),616,"₩10,782"
2026년 5월 10일 (일),575,"₩10,283"
2026년 5월 11일 (월),540,"₩8,150"
2026년 5월 12일 (화),708,"₩10,888"
2026년 5월 13일 (수),286,"₩5,743"
2026년 5월 14일 (목),0,₩0
2026년 5월 15일 (금),0,₩0
2026년 5월 16일 (토),94,"₩1,791"
2026년 5월 17일 (일),"1,871","₩62,142"
2026년 5월 18일 (월),0,₩0
2026년 5월 19일 (화),0,₩0
