# ----------------------------------------
# 보고서 개요
# 계정: Default Account for Firebase
# 속성: rejeuphone
# ----------------------------------------
#  
# 시작일: 20260218
# 종료일: 20260317
N일,활성 사용자
0000,0
0001,0
0002,0
0003,10
0004,26
0005,11
0006,9
0007,7
0008,11
0009,5
0010,4
0011,6
0012,2
0013,7
0014,2
0015,8
0016,5
0017,32
0018,30
0019,20
0020,72
0021,116
0022,88
0023,113
0024,120
0025,91
0026,101
0027,100

# 시작일: 20260218
# 종료일: 20260317
N일,새 사용자 수
0000,0
0001,0
0002,0
0003,10
0004,22
0005,8
0006,7
0007,4
0008,8
0009,4
0010,3
0011,1
0012,0
0013,2
0014,0
0015,6
0016,3
0017,26
0018,27
0019,15
0020,61
0021,107
0022,81
0023,106
0024,114
0025,84
0026,93
0027,90

# 시작일: 20260218
# 종료일: 20260317
N일,활성 사용자당 평균 참여 시간
0000,0
0001,0
0002,0
0003,97.2
0004,316.9230769230769
0005,376.90909090909093
0006,5880.111111111111
0007,1185.2857142857142
0008,893.4545454545455
0009,27.8
0010,143.75
0011,151.33333333333334
0012,12.5
0013,290.14285714285717
0014,125.5
0015,969.75
0016,76.6
0017,169.75
0018,64.06666666666666
0019,192.65
0020,132.61111111111111
0021,37.5948275862069
0022,63.56818181818182
0023,38.230088495575224
0024,9.05
0025,37.31868131868132
0026,67.3069306930693
0027,113.35

# 시작일: 20260218
# 종료일: 20260317
N일,총수익
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0

# 신규 사용자는 어디에서 유입되고 있나요?
# 시작일: 20260218
# 종료일: 20260317
신규 사용자 기본 채널 그룹(기본 채널 그룹),새 사용자 수
Direct,807
Organic Search,72
Referral,3

#  
# 시작일: 20260218
# 종료일: 20260317
세션 기본 채널 그룹(기본 채널 그룹),세션수
Direct,1022
Organic Search,113
Referral,36
Unassigned,1

#  
# 시작일: 20260218
# 종료일: 20260317
국가 ID,활성 사용자
CN,1
FR,1
HK,2
JP,1
KG,1
KR,839
NL,1
PL,2
TJ,1
US,17
UZ,2
VN,2

# 시작일: 20260218
# 종료일: 20260317
국가,활성 사용자
KR,839
US,17
HK,2
PL,2
UZ,2
VN,2
CN,1

# 활성 사용자 추이
# 시작일: 20260218
# 종료일: 20260317
N일,30일,7일,1일
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,10,10,10
0004,32,32,26
0005,40,40,11
0006,47,47,9
0007,51,51,7
0008,59,59,11
0009,63,63,5
0010,66,60,4
0011,67,40,6
0012,67,32,2
0013,69,29,7
0014,69,26,2
0015,75,23,8
0016,78,24,5
0017,104,47,32
0018,131,75,30
0019,146,90,20
0020,207,150,72
0021,314,257,116
0022,395,334,88
0023,501,437,113
0024,616,526,120
0025,700,586,91
0026,793,666,101
0027,883,694,100

# 사용자 유지율
# 시작일: 20260201
# 종료일: 20260314
날짜,0주째,1주째,2주째,3주째,4주째,5주째
2월 1일 - 2월 7일,0,0,0,0,0,0
2월 8일 - 2월 14일,0,0,0,0,0,-1
2월 15일 - 2월 21일,10,4,2,3,-1,-1
2월 22일 - 2월 28일,56,7,6,-1,-1,-1
3월 1일 - 3월 7일,38,5,-1,-1,-1,-1
3월 8일 - 3월 14일,511,-1,-1,-1,-1,-1

#  
# 시작일: 20260218
# 종료일: 20260317
페이지 제목 및 화면 클래스,조회수
쉐라폰 - 중고폰 매입 시세 조회 및 판매,1884
내 폰 판매 시세 조회 - 쉐라폰,612
중고폰 매입 단가표 - 쉐라폰,265
이용후기 - 쉐라폰,248
관리자 페이지 - Sharaphone,176
로그인 - 쉐라폰,123
마이페이지 - 쉐라폰,82
以묎퀬??留ㅼ엯 ?꾨Ц ?먮씪??- ?????쒖꽭 議고쉶 諛??먮ℓ,34
이용약관 - 쉐라폰,17
愿€由ъ옄 ?섏씠吏€ - Sharaphone,16
중고폰 매입 전문 쉐라폰 - 내폰 시세 조회 및 판매,16
개인정보처리방침 - 쉐라폰,15
?�라??- 중고??매입 ?�세 조회 �??�매,10
관리자 ?�이지 - Sharaphone,9
중고??매입 ?�문 ?�라??- ?????�세 조회 �??�매,8
중고폰 매입 전문 쉐라폰 - 내 폰 시세 조회 및 판매,5
Inject Reviews,2
회원가입 - 쉐라폰,2
Check Deleted,1
Delete Old Reviews,1
Seed 10 More Reviews,1
Seed 14 Reviews,1

#  
# 시작일: 20260218
# 종료일: 20260317
이벤트 이름,이벤트 수
page_view,3528
user_engagement,2271
session_start,1168
first_visit,882
generate_lead,2

# 최고의 실적을 내는 주요 이벤트는 무엇인가요?
# 시작일: 20260218
# 종료일: 20260317
이벤트 이름,주요 이벤트


# 120일 평균 값은 어떻게 계산되나요?
# 시작일: 20260218
# 종료일: 20260317
신규 사용자 기본 채널 그룹(기본 채널 그룹),120일 평균 값


#  
# 시작일: 20260218
# 종료일: 20260317
항목 이름,구매한 상품


# 플랫폼별 활동 비교
# 시작일: 20260218
# 종료일: 20260317
플랫폼,주요 이벤트
